Date,Prediction
11-06,3.7229285924392244
12-06,3.740304549030121
15-06,3.7608938730166983
16-06,3.782821000751767
17-06,3.810822467843259
18-06,3.842719768283139
19-06,3.874714148287069
22-06,3.9017448873893272
23-06,3.917978552385115
24-06,3.9201996786895634
25-06,3.9108778757003293
26-06,3.89798334180027
29-06,3.8884036521921104
30-06,3.8823349278906107
01-07,3.876954690504327
02-07,3.8708530876884524
03-07,3.865647052307345
06-07,3.8645588817235534
07-07,3.870736862816649
08-07,3.8862927974482204
09-07,3.911435728024479
10-07,3.9425301432614717
13-07,3.9716609805566208
14-07,3.9888467017927383
15-07,3.9869933277601888
16-07,3.969456699416945
17-07,3.949653280165954
20-07,3.9399907854104796
21-07,3.942423051310328
22-07,3.950752207300745
